"A","B","C","D","E","S_x","S_y"
386.849728369901,399.807544219394,668.717213894727,48,1.70255307805853,"1","1"
388.180132584429,398.253881660527,499.472904235223,37,1.77718289852305,"1","1"
279.016566686409,391.609898895382,338.51804646079,50,1.69815430391281,"1","1"
336.154949972574,400.779143895191,310.203909172835,28,0.986010395874003,"1","1"
386.24200879363,411.289005608902,287.467360012797,28,-0.928924601485684,"1","1"
394.39634697763,412.010281148772,310.669814492837,52,-0.619248308561403,"1","1"
278.159519009706,399.884125245039,261.225353912803,35,-0.399573335569284,"1","1"
388.577972735257,411.841863550689,348.882800279971,60,0.195879252476045,"1","1"
274.78388162643,387.529365843073,360.838837925704,63,-1.14053205643567,"1","1"
297.399114922391,409.564828780437,412.584502730037,29,-0.293805765610161,"1","1"
388.092935411859,388.761451331114,249.121764365001,44,-0.166597288023642,"1","1"
237.165944494033,394.92101416732,409.659498231103,49,-0.602865292229078,"1","1"
278.157631930788,308.377389113053,310.382112813773,56,-0.0364835814807628,"1","1"
211.002752083294,370.368908874354,198.048478602193,29,1.62068679283744,"1","1"
372.903778460845,389.925394749385,199.770219553612,62,0.798271916726249,"1","1"
389.237859162745,355.607365664339,330.448173021394,38,0.89533577413524,"1","1"
277.295736662375,384.840121291435,360.366898098815,61,0.883029775765892,"1","1"
274.915063288426,412.021348242396,338.780005229369,51,2.07208747617998,"1","1"
279.454035055827,393.795718585069,410.430011818742,59,1.41202809983005,"1","1"
388.139399523568,346.554344490587,571.438074604224,28,1.26181362950211,"1","1"
387.280645285204,402.954774889336,200.056514038565,40,0.367174062052289,"1","1"
207.664377082882,402.25491614739,479.930859407981,45,0.522467294447823,"1","1"
214.616016512487,397.508810154358,282.233696897466,38,2.02574843219645,"1","1"
267.139381436678,396.705961169562,312.247396096075,58,2.61983252654407,"1","1"
237.41353329776,392.279791139981,400.13936668331,45,1.06502844958129,"1","1"
388.493682816725,400.226523312499,309.260206219457,38,0.462705046540397,"1","1"
234.798163152494,411.103425263825,249.507503165936,55,1.0302523857755,"1","1"
240.782183427382,410.897907220227,510.656562084101,54,1.00162168185548,"1","1"
278.381562123373,232.391257131408,469.209094086772,43,1.5978995475266,"1","1"
205.266389600074,433.988213931364,266.450796671585,45,-0.386150792132435,"1","1"
342.921276790963,503.818103307675,313.495282648707,54,-1.41542844979554,"1","1"
363.527551717992,537.36724741175,350.557645126394,58,1.04182134447276,"1","1"
251.980384900741,377.587951121992,365.890362617892,52,0.861599844577334,"1","1"
275.182931640334,438.259118195194,402.300269647756,50,0.778462486585496,"1","1"
345.64539491729,332.080984335131,249.811327833359,40,0.96488424128534,"1","1"
301.963773757333,202.501299168691,358.12086651817,48,0.357438212539925,"1","1"
292.91352898809,219.700560552497,394.042749705585,58,-1.5058997191609,"1","1"
262.232738272062,252.637956540211,298.713488257539,64,1.71600220382778,"1","1"
233.284132992253,411.443844204205,356.676448965249,60,0.00826769325533849,"1","1"
241.614543789023,262.658165956423,276.570698834603,38,0.501527896861814,"1","1"
197.423724601454,386.588237039562,291.6211211258,58,1.09242579556673,"1","1"
211.075839595406,218.90358223963,285.723300591421,24,-0.688824316809304,"1","1"
270.014174973147,293.32970950002,226.334078539413,29,0.188289975407649,"1","1"
305.798066929695,396.943033082453,415.306731847534,38,-0.0579753085334505,"1","1"
232.694609716923,228.830671471521,347.210540988021,30,0.892023931164032,"1","1"
261.08305101086,207.257224538635,249.118361680433,48,-3.3716707525449,"1","1"
246.081465392619,385.618811692162,194.867034138348,42,0.0769986555447943,"1","1"
271.913992608215,425.360996832451,247.362750801528,34,-0.182895390932646,"1","1"
175.237198473444,232.134891008611,332.754069453948,31,0.828700919838723,"1","1"
212.247132791609,320.619146055714,463.865090564691,60,3.34365156430924,"1","1"
